Time [s],Value,Parity Error,Framing Error
0.716200791666667,0x00,,Error
0.746661916666667,0x00,,Error
0.746800291666667,0x00,,Error
0.747280958333333,0x00,,Error
0.747437541666667,0x00,,Error
0.747698083333333,0x00,,Error
0.748503416666667,0x1E,,Error
0.748634791666667,0x8F,,
0.748736333333333,0xFD,,
0.748924791666667,0x0B,,Error
0.749014500000000,0xFF,,
0.749133958333333,0xF9,,
0.792967916666667,0xFF,,
2.831646291666666,0xFA,,
2.831732833333333,0x11,,
2.831819375000000,0x01,,
2.831905916666666,0x00,,
2.831992458333333,0x01,,
2.832079000000000,0x11,,
2.832165500000000,0xFD,,
3.031054333333334,0xFA,,
3.031140875000000,0x11,,
3.031227416666667,0x01,,
3.031313958333334,0x00,,
3.031400500000000,0x02,,
3.031487041666667,0x12,,
3.031573583333333,0xFD,,
3.040944625000000,0xFA,,
3.041031166666667,0x13,,
3.041117708333333,0x03,,
3.041204250000000,0xFF,,
3.041290750000000,0x00,,
3.041377291666667,0x64,,
3.041463791666667,0x00,,
3.041550250000000,0x03,,
3.041636791666666,0x88,,
3.041723291666667,0xFD,,
3.041809875000000,0xFA,,
3.041896416666667,0x15,,
3.041982916666667,0x13,,
3.042069458333333,0x00,,
3.042156000000000,0x04,,
3.042242500000000,0x02,,
3.042329000000000,0xFD,,
3.042415541666667,0xFA,,
3.042502041666667,0x15,,
3.042588583333333,0x14,,
3.042675125000000,0x00,,
3.042761666666667,0x05,,
3.042848208333333,0x04,,
3.042934708333333,0xFD,,
3.043021250000000,0xFA,,
3.043107750000000,0x15,,
3.043194250000000,0x15,,
3.043280708333334,0x00,,
3.043367208333333,0x06,,
3.043453708333333,0x06,,
3.043540208333333,0xFD,,
3.043626750000000,0xFA,,
3.043713250000000,0x15,,
3.043799791666667,0x21,,
3.043886291666666,0x00,,
3.043972833333333,0x07,,
3.044059375000000,0x33,,
3.044145875000000,0xFD,,
3.044232375000000,0xFA,,
3.044318916666667,0x15,,
3.044405416666667,0x22,,
3.044491916666667,0x00,,
3.044578416666667,0x08,,
3.044664916666667,0x3F,,
3.044751458333333,0xFD,,
3.044838000000000,0xFA,,
3.044924500000000,0x15,,
3.045011041666667,0x23,,
3.045097541666667,0x00,,
3.045184041666666,0x09,,
3.045270541666667,0x3F,,
3.045357083333333,0xFD,,
3.045443541666667,0xFA,,
3.045530041666667,0x15,,
3.045616500000000,0x72,,
3.045703000000000,0x00,,
3.045789541666667,0x0A,,
3.045876041666667,0x6D,,
3.045962541666666,0xFD,,
3.046049041666667,0xFA,,
3.046135583333333,0x15,,
3.046222083333333,0x73,,
3.046308583333333,0x00,,
3.046395083333334,0x0B,,
3.046481583333333,0x6D,,
3.046568125000000,0xFD,,
3.055886958333333,0xFA,,
3.055973500000000,0x14,,
3.056060041666667,0x01,,
3.056146625000000,0xFF,,
3.056233166666666,0x00,,
3.056319708333334,0x00,,
3.056406208333333,0x0C,,
3.056492791666667,0xE6,,
3.056579333333334,0xFD,,
3.230300208333333,0xFA,,
3.230386750000000,0x01,,
3.230473291666667,0xA0,,
3.230559875000000,0x04,,
3.230646416666667,0x00,,
3.230732916666667,0x0D,,
3.230819500000000,0xA8,,
3.230906041666667,0xFD,,
3.429867333333333,0xFA,,
3.429953875000000,0x01,,
3.430040416666666,0xA0,,
3.430127000000000,0x04,,
3.430213541666667,0x00,,
3.430300083333333,0x0E,,
3.430386583333333,0xAB,,
3.430473125000000,0xFD,,
3.629267750000000,0xFA,,
3.629354333333333,0x01,,
3.629440916666667,0xA0,,
3.629527541666667,0x04,,
3.629614125000000,0x00,,
3.629700708333333,0x0F,,
3.629787291666667,0xAA,,
3.629873833333333,0xFD,,
3.828648333333333,0xFA,,
3.828734875000000,0x01,,
3.828821458333334,0xA0,,
3.828908041666667,0x04,,
3.828994583333333,0x00,,
3.829081166666667,0x10,,
3.829167708333333,0xB5,,
3.829254291666667,0xFD,,
4.027898000000000,0xFA,,
4.027984541666667,0x01,,
4.028071041666666,0xA0,,
4.028157583333333,0x04,,
4.028244125000000,0x00,,
4.028330625000000,0x11,,
4.028417208333333,0xB4,,
4.028503750000000,0xFD,,
4.227416333333333,0xFA,,
4.227502875000000,0x01,,
4.227589416666667,0xA0,,
4.227675958333333,0x04,,
4.227762500000000,0x00,,
4.227849041666667,0x12,,
4.227935583333333,0xB7,,
4.228022125000000,0xFD,,
4.426816166666667,0xFA,,
4.426902708333333,0x01,,
4.426989291666667,0xA0,,
4.427075833333333,0x04,,
4.427162416666667,0x00,,
4.427249000000000,0x13,,
4.427335541666666,0xB6,,
4.427422125000000,0xFD,,
4.626076375000000,0xFA,,
4.626162875000000,0x01,,
4.626249375000000,0xA0,,
4.626335916666667,0x04,,
4.626422416666666,0x00,,
4.626508958333333,0x14,,
4.626595458333333,0xB1,,
4.626681958333333,0xFD,,
4.825468333333333,0xFA,,
4.825554875000000,0x01,,
4.825641375000000,0xA0,,
4.825727916666667,0x04,,
4.825814458333333,0x00,,
4.825900958333333,0x15,,
4.825987500000000,0xB0,,
4.826074041666667,0xFD,,
