Time [s],Value,Parity Error,Framing Error
0.746722875000000,0x00,,
0.747269541666667,0x01,,Error
0.747442458333333,0x00,,Error
0.747580458333333,0x00,,Error
0.748493583333333,0xFF,,Error
3.031798333333333,0xFA,,
3.031885500000000,0x12,,
3.031972666666667,0x01,,
3.032059833333333,0x01,,
3.032147000000000,0x17,,
3.032234166666667,0x93,,
3.032321333333333,0x96,,
3.032408500000000,0xFD,,
3.046860166666667,0xFA,,
3.046947375000000,0x14,,
3.047034541666667,0x03,,
3.047121708333334,0xFF,,
3.047208916666666,0x00,,
3.047296083333333,0x17,,
3.047383250000000,0x94,,
3.047470416666667,0x6B,,
3.047557583333333,0xFD,,
3.047644791666666,0xFA,,
3.047731958333333,0x13,,
3.047819125000000,0x01,,
3.047906291666667,0xFF,,
3.047993458333333,0x03,,
3.048080666666667,0xE8,,
3.048167833333333,0x17,,
3.048255000000000,0x95,,
3.048342166666667,0x84,,
3.048429333333333,0xFD,,
3.048516458333333,0xFA,,
3.048603625000000,0x16,,
3.048690791666667,0x13,,
3.048777958333333,0x00,,
3.048865125000000,0x01,,
3.048952291666667,0x17,,
3.049039458333333,0x96,,
3.049126625000000,0x85,,
3.049213833333333,0xFD,,
3.049301000000000,0xFA,,
3.049388166666667,0x16,,
3.049475375000000,0x14,,
3.049562541666667,0x00,,
3.049649708333333,0x01,,
3.049736875000000,0x17,,
3.049824041666667,0x97,,
3.049911208333334,0x83,,
3.049998375000000,0xFD,,
3.050085541666667,0xFA,,
3.050172708333333,0x16,,
3.050259875000000,0x15,,
3.050347041666666,0x00,,
3.050434208333333,0x01,,
3.050521375000000,0x17,,
3.050608541666667,0x98,,
3.050695750000000,0x8D,,
3.050782916666666,0xFD,,
3.050870083333333,0xFA,,
3.050957250000000,0x16,,
3.051044416666667,0x21,,
3.051131583333333,0x02,,
3.051218750000000,0x8A,,
3.051305916666667,0x17,,
3.051393083333333,0x99,,
3.051480250000000,0x31,,
3.051567416666667,0xFD,,
3.051654583333333,0xFA,,
3.051741791666667,0x16,,
3.051828958333333,0x22,,
3.051916166666667,0x04,,
3.052003333333333,0xE2,,
3.052090541666667,0x17,,
3.052177708333333,0x9A,,
3.052264916666667,0x5F,,
3.052352083333334,0xFD,,
3.052439250000000,0xFA,,
3.052526458333333,0x16,,
3.052613625000000,0x23,,
3.052700791666667,0x00,,
3.052787958333333,0x00,,
3.052875125000000,0x17,,
