Time [s],Value,Parity Error,Framing Error
4.348676000000000,0xFA,,
4.348762583333333,0x17,,
4.348849125000000,0x10,,
4.348935708333333,0x00,,
4.349022250000000,0x01,,
4.349108791666667,0x39,,
4.349195375000000,0x3F,,
4.349281875000000,0xFD,,
4.423482625000000,0xFA,,
4.423569166666667,0x17,,
4.423655750000000,0x03,,
4.423742291666667,0x00,,
4.423828875000000,0x01,,
4.423915458333333,0x3A,,
4.424002041666666,0x2F,,
4.424088625000000,0xFD,,
4.473471375000000,0xFA,,
4.473557875000000,0x11,,
4.473644416666667,0x01,,
4.473730916666667,0x01,,
4.473817458333333,0x3B,,
4.473904000000000,0x2A,,
4.473990541666667,0xFD,,
4.478378541666666,0xFA,,
4.478465083333333,0x13,,
4.478551625000000,0x03,,
4.478638208333333,0xFF,,
4.478724750000000,0x00,,
4.478811291666666,0x64,,
4.478897833333333,0x01,,
4.478984375000000,0x3C,,
4.479070916666666,0xB6,,
4.479157458333333,0xFD,,
4.479244000000000,0xFA,,
4.479330541666667,0x15,,
4.479417083333334,0x13,,
4.479503666666667,0x01,,
4.479590208333334,0x3D,,
4.479676791666667,0x3A,,
4.479763333333334,0xFD,,
4.479849875000000,0xFA,,
4.479936458333333,0x15,,
4.480023000000000,0x14,,
4.480109541666667,0x01,,
4.480196083333333,0x3E,,
4.480282625000000,0x3E,,
4.480369166666667,0xFD,,
4.480455708333333,0xFA,,
4.480542250000000,0x15,,
4.480628833333333,0x15,,
4.480715416666667,0x01,,
4.480801958333333,0x3F,,
4.480888541666666,0x3E,,
4.480975083333333,0xFD,,
4.481061625000000,0xFA,,
4.481148166666666,0x15,,
4.481234750000000,0x21,,
4.481321291666666,0x01,,
4.481407833333333,0x40,,
4.481494416666667,0x75,,
4.481581000000000,0xFD,,
4.481667500000000,0xFA,,
4.481754083333334,0x15,,
4.481840625000000,0x22,,
4.481927166666667,0x01,,
4.482013666666667,0x41,,
4.482100250000000,0x77,,
4.482186833333333,0xFD,,
4.482273375000000,0xFA,,
4.482359916666667,0x15,,
4.482446500000000,0x23,,
4.482533041666667,0x01,,
4.482619583333333,0x42,,
4.482706166666667,0x75,,
4.482792708333333,0xFD,,
4.482879250000000,0xFA,,
4.482965791666667,0x15,,
4.483052333333333,0x72,,
4.483138916666666,0x01,,
4.483225458333333,0x43,,
4.483312000000000,0x25,,
4.483398541666666,0xFD,,
4.483485083333333,0xFA,,
4.483571625000000,0x15,,
4.483658166666666,0x73,,
4.483744708333333,0x01,,
4.483831250000000,0x44,,
4.483917791666666,0x23,,
4.484004333333333,0xFD,,
4.493326041666666,0xFA,,
4.493412625000000,0x14,,
4.493499208333334,0x01,,
4.493585750000000,0xFF,,
4.493672333333333,0x00,,
4.493758916666667,0x01,,
4.493845500000000,0x45,,
4.493932041666667,0xAE,,
4.494018625000000,0xFD,,
4.672868458333333,0xFA,,
4.672955000000000,0x01,,
4.673041583333333,0xA0,,
4.673128166666666,0x04,,
4.673214708333333,0x01,,
4.673301250000000,0x46,,
4.673387791666666,0xE2,,
4.673474333333333,0xFD,,
4.872130416666667,0xFA,,
4.872217000000000,0x01,,
4.872303541666667,0xA0,,
4.872390083333333,0x04,,
4.872476666666667,0x01,,
4.872563208333333,0x47,,
4.872649791666666,0xE3,,
4.872736333333333,0xFD,,
5.071715500000000,0xFA,,
5.071802041666666,0x01,,
5.071888583333333,0xA0,,
5.071975125000000,0x04,,
5.072061666666666,0x01,,
5.072148250000000,0x48,,
5.072234791666666,0xEC,,
5.072321375000000,0xFD,,
5.270989250000000,0xFA,,
5.271075833333334,0x01,,
5.271162416666667,0xA0,,
5.271249000000000,0x04,,
5.271335583333333,0x01,,
5.271422166666667,0x49,,
5.271508750000000,0xED,,
5.271595333333333,0xFD,,
5.470585083333333,0xFA,,
5.470671583333333,0x01,,
5.470758125000000,0xA0,,
5.470844666666666,0x04,,
5.470931250000000,0x01,,
5.471017791666666,0x4A,,
5.471104375000000,0xEE,,
5.471190916666667,0xFD,,
5.669868958333334,0xFA,,
5.669955541666667,0x01,,
5.670042125000000,0xA0,,
