Time [s],Value,Parity Error,Framing Error
0.108188041666667,0xFA,,
0.108274625000000,0x01,,
0.108361166666667,0xA0,,
0.108447750000000,0x04,,
0.108534333333333,0x00,,
0.108620916666667,0xA9,,
0.108707458333333,0x0C,,
0.108794041666667,0xFD,,
0.307825166666667,0xFA,,
0.307911750000000,0x01,,
0.307998333333333,0xA0,,
0.308084875000000,0x04,,
0.308171458333333,0x00,,
0.308258041666667,0xAA,,
0.308344583333333,0x0F,,
0.308431166666667,0xFD,,
0.507329458333333,0xFA,,
0.507416041666667,0x01,,
0.507502583333333,0xA0,,
0.507589166666667,0x04,,
0.507675708333333,0x00,,
0.507762333333333,0xAB,,
0.507848916666667,0x0E,,
0.507935500000000,0xFD,,
0.706842416666667,0xFA,,
0.706929000000000,0x01,,
0.707015625000000,0xA0,,
0.707102208333333,0x04,,
0.707188833333333,0x00,,
0.707275416666667,0xAC,,
0.707362000000000,0x09,,
0.707448625000000,0xFD,,
0.906282625000000,0xFA,,
0.906369208333333,0x17,,
0.906455833333333,0x06,,
0.906542416666667,0x01,,
0.906629041666667,0x00,,
0.906715625000000,0xAD,,
0.906802208333333,0xBD,,
0.906888833333333,0xFD,,
0.906975416666667,0xFA,,
0.907062000000000,0x01,,
0.907148625000000,0xA0,,
0.907235208333333,0x04,,
0.907321833333333,0x00,,
0.907408458333333,0xAE,,
0.907495083333333,0x0B,,
0.907581666666667,0xFD,,
0.981112083333333,0xFA,,
0.981198666666667,0x17,,
0.981285291666667,0x06,,
0.981371833333333,0x00,,
0.981458458333333,0x00,,
0.981545041666667,0xAF,,
0.981631583333333,0xBE,,
0.981718208333333,0xFD,,
1.105938458333333,0xFA,,
1.106025125000000,0x01,,
1.106111708333333,0xA0,,
1.106198333333333,0x04,,
1.106284916666667,0x00,,
1.106371541666667,0xB0,,
1.106458166666667,0x15,,
1.106544791666667,0xFD,,
1.305424375000000,0xFA,,
1.305510916666667,0x01,,
1.305597500000000,0xA0,,
1.305684041666667,0x04,,
1.305770583333333,0x00,,
1.305857125000000,0xB1,,
1.305943708333333,0x14,,
1.306030250000000,0xFD,,
1.504920000000000,0xFA,,
1.505006583333333,0x01,,
1.505093166666667,0xA0,,
1.505179750000000,0x04,,
1.505266333333333,0x00,,
1.505352916666667,0xB2,,
1.505439500000000,0x17,,
1.505526125000000,0xFD,,
1.704257416666667,0xFA,,
1.704344000000000,0x01,,
1.704430583333333,0xA0,,
1.704517166666667,0x04,,
1.704603708333333,0x00,,
1.704690250000000,0xB3,,
1.704776833333333,0x16,,
1.704863375000000,0xFD,,
1.903733333333333,0xFA,,
1.903819875000000,0x01,,
1.903906458333333,0xA0,,
1.903993041666667,0x04,,
1.904079625000000,0x00,,
1.904166166666667,0xB4,,
1.904252791666667,0x11,,
1.904339375000000,0xFD,,
2.103352208333333,0xFA,,
2.103438750000000,0x01,,
2.103525291666667,0xA0,,
2.103611833333333,0x04,,
2.103698375000000,0x00,,
2.103784916666667,0xB5,,
2.103871458333333,0x10,,
2.103958000000000,0xFD,,
2.302680500000000,0xFA,,
2.302767083333333,0x01,,
2.302853708333333,0xA0,,
2.302940291666667,0x04,,
2.303026916666667,0x00,,
2.303113500000000,0xB6,,
2.303200125000000,0x13,,
2.303286708333333,0xFD,,
2.502200708333334,0xFA,,
2.502287291666667,0x01,,
2.502373916666667,0xA0,,
2.502460500000000,0x04,,
2.502547125000000,0x00,,
2.502633708333333,0xB7,,
2.502720333333333,0x12,,
2.502806916666667,0xFD,,
2.701872458333333,0xFA,,
2.701959000000000,0x01,,
2.702045583333333,0xA0,,
2.702132166666666,0x04,,
2.702218750000000,0x00,,
2.702305291666667,0xB8,,
2.702391875000000,0x1D,,
2.702478416666667,0xFD,,
2.751628000000000,0xFA,,
2.751714583333333,0xA1,,
2.751801125000000,0x00,,
2.751887666666667,0x00,,
2.751974250000000,0xB9,,
2.752060791666667,0x18,,
2.752147375000000,0xFD,,
2.901208250000000,0xFA,,
2.901294791666666,0x01,,
2.901381333333333,0xA0,,
2.901467875000000,0x04,,
2.901554416666666,0x00,,
2.901640958333333,0xBA,,
2.901727500000000,0x1F,,
2.901814041666666,0xFD,,
3.100830791666667,0xFA,,
3.100917333333333,0x01,,
3.101003916666667,0xA0,,
3.101090541666667,0x04,,
3.101177083333333,0x00,,
3.101263708333333,0xBB,,
3.101350291666667,0x1E,,
3.101436875000000,0xFD,,
3.300315958333333,0xFA,,
3.300402583333333,0x01,,
3.300489166666666,0xA0,,
3.300575708333333,0x04,,
3.300662291666667,0x00,,
3.300748875000000,0xBC,,
3.300835458333333,0x19,,
3.300922000000000,0xFD,,
3.499838583333333,0xFA,,
3.499925250000000,0x01,,
3.500011875000000,0xA0,,
3.500098500000000,0x04,,
3.500185125000000,0x00,,
3.500271791666667,0xBD,,
3.500358375000000,0x18,,
3.500445000000000,0xFD,,
