Time [s],Value,Parity Error,Framing Error
0.118376750000000,0xFA,,
0.118463250000000,0x01,,
0.118549750000000,0xA0,,
0.118636208333333,0x04,,
0.118722750000000,0x04,,
0.118809250000000,0xF9,,
0.118895791666667,0x58,,
0.118982291666667,0xFD,,
0.317872541666667,0xFA,,
0.317959083333333,0x01,,
0.318045666666667,0xA0,,
0.318132166666667,0x04,,
0.318218708333333,0x04,,
0.318305250000000,0xFE,,
0.318391791666667,0xFA,,
0.318478333333333,0x5B,,
0.318564875000000,0xFD,,
0.517224250000000,0xFA,,
0.517310833333333,0x01,,
0.517397375000000,0xA0,,
0.517483916666667,0x04,,
0.517570416666667,0x04,,
0.517656958333333,0xFB,,
0.517743541666667,0x5A,,
0.517830083333333,0xFD,,
0.716413208333333,0xFA,,
0.716499708333333,0x01,,
0.716586250000000,0xA0,,
0.716672750000000,0x04,,
0.716759291666667,0x04,,
0.716845833333333,0xFC,,
0.716932375000000,0x5D,,
0.717018875000000,0xFD,,
0.915755666666667,0xFA,,
0.915842166666667,0x17,,
0.915928666666667,0x07,,
0.916015166666667,0x01,,
0.916101708333333,0x04,,
0.916188250000000,0xFE,,
0.916274750000000,0xFD,,
0.916361250000000,0xE8,,
0.916447750000000,0xFD,,
0.916534250000000,0xFA,,
0.916620750000000,0x01,,
0.916707250000000,0xA0,,
0.916793750000000,0x04,,
0.916880250000000,0x04,,
0.916966750000000,0xFE,,
0.917053208333333,0xFE,,
0.917139708333333,0x5F,,
0.917226208333333,0xFD,,
1.015435750000000,0xFA,,
1.015522250000000,0x17,,
1.015608750000000,0x07,,
1.015695291666667,0x00,,
1.015781833333333,0x04,,
1.015868375000000,0xFF,,
1.015954916666667,0xEB,,
1.016041458333333,0xFD,,
1.115089208333333,0xFA,,
1.115175791666667,0x01,,
1.115262333333333,0xA0,,
1.115348833333333,0x04,,
1.115435375000000,0x05,,
1.115521916666667,0x00,,
1.115608458333333,0xA0,,
1.115694958333333,0xFD,,
1.314541916666667,0xFA,,
1.314628416666667,0x01,,
1.314714916666667,0xA0,,
1.314801375000000,0x04,,
1.314887833333333,0x05,,
1.314974333333333,0x01,,
1.315060791666667,0xA1,,
1.315147333333333,0xFD,,
1.513844750000000,0xFA,,
1.513931250000000,0x01,,
1.514017708333333,0xA0,,
1.514104166666667,0x04,,
1.514190583333333,0x05,,
1.514277041666667,0x02,,
1.514363500000000,0xA2,,
1.514449958333333,0xFD,,
1.712991875000000,0xFA,,
1.713078458333333,0x01,,
1.713165000000000,0xA0,,
1.713251541666667,0x04,,
1.713338083333333,0x05,,
1.713424666666667,0x03,,
1.713511208333333,0xA3,,
1.713597750000000,0xFD,,
1.912472500000000,0xFA,,
1.912559000000000,0x01,,
1.912645541666667,0xA0,,
1.912732083333333,0x04,,
1.912818583333333,0x05,,
1.912905125000000,0x04,,
1.912991625000000,0xA4,,
1.913078166666667,0xFD,,
2.111842208333333,0xFA,,
2.111928708333333,0x01,,
2.112015250000000,0xA0,,
2.112101833333333,0x04,,
2.112188375000000,0x05,,
2.112274916666667,0x05,,
2.112361458333333,0xA5,,
2.112448041666667,0xFD,,
2.311051375000000,0xFA,,
2.311137916666667,0x01,,
2.311224458333333,0xA0,,
2.311310958333333,0x04,,
2.311397458333333,0x05,,
2.311483958333334,0x06,,
2.311570500000000,0xA6,,
2.311657041666667,0xFD,,
2.510574416666667,0xFA,,
2.510660958333333,0x01,,
2.510747500000000,0xA0,,
2.510834041666667,0x04,,
2.510920541666667,0x05,,
2.511007041666667,0x07,,
2.511093541666667,0xA7,,
2.511180083333334,0xFD,,
2.710044541666667,0xFA,,
2.710131083333333,0x01,,
2.710217583333333,0xA0,,
2.710304125000000,0x04,,
2.710390666666667,0x05,,
2.710477166666667,0x08,,
2.710563666666667,0xA8,,
2.710650208333333,0xFD,,
2.909373458333333,0xFA,,
2.909459958333333,0x01,,
2.909546500000000,0xA0,,
2.909633041666666,0x04,,
2.909719583333333,0x05,,
2.909806125000000,0x09,,
2.909892666666666,0xA9,,
2.909979208333333,0xFD,,
3.108629916666667,0xFA,,
3.108716500000000,0x01,,
3.108803083333334,0xA0,,
3.108889625000000,0x04,,
3.108976208333333,0x05,,
3.109062750000000,0x0A,,
3.109149291666667,0xAA,,
3.109235833333333,0xFD,,
3.308200250000000,0xFA,,
3.308286833333333,0x01,,
3.308373416666667,0xA0,,
3.308460041666667,0x04,,
3.308546625000000,0x05,,
3.308633250000000,0x0B,,
3.308719833333333,0xAB,,
3.308806458333333,0xFD,,
3.382884708333334,0xFA,,
3.382971333333333,0x17,,
3.383057958333333,0x04,,
3.383144583333333,0x01,,
3.383231166666667,0x05,,
3.383317791666667,0x0C,,
3.383404416666667,0x1B,,
3.383491041666667,0xFD,,
3.482624375000000,0xFA,,
3.482710916666667,0x17,,
3.482797500000000,0x04,,
3.482884083333333,0x00,,
3.482970625000000,0x05,,
3.483057208333333,0x0D,,
3.483143791666667,0x1B,,
3.483230333333333,0xFD,,
3.507529791666667,0xFA,,
3.507616333333333,0x01,,
3.507702875000000,0xA0,,
3.507789375000000,0x04,,
3.507875916666667,0x05,,
3.507962458333334,0x0E,,
3.508049000000000,0xAE,,
3.508135500000000,0xFD,,
3.707051083333333,0xFA,,
3.707137583333334,0x01,,
3.707224125000000,0xA0,,
3.707310708333333,0x04,,
3.707397250000000,0x05,,
3.707483791666667,0x0F,,
3.707570333333333,0xAF,,
3.707656875000000,0xFD,,
3.906264000000000,0xFA,,
3.906350500000000,0x01,,
3.906437000000000,0xA0,,
3.906523500000000,0x04,,
3.906610000000000,0x05,,
3.906696541666667,0x10,,
3.906783083333333,0xB0,,
3.906869583333333,0xFD,,
4.105766041666667,0xFA,,
4.105852583333333,0x01,,
4.105939125000000,0xA0,,
4.106025625000000,0x04,,
4.106112166666667,0x05,,
4.106198750000000,0x11,,
4.106285250000000,0xB1,,
4.106371791666667,0xFD,,
4.170426125000000,0xFA,,
4.170512583333333,0xA1,,
4.170599041666667,0x00,,
4.170685500000000,0x05,,
4.170772000000000,0x12,,
4.170858458333333,0xB6,,
4.170944958333333,0xFD,,
4.304929416666667,0xFA,,
4.305015875000000,0x01,,
4.305102333333333,0xA0,,
4.305188833333333,0x04,,
4.305275291666667,0x05,,
4.305361791666667,0x13,,
4.305448291666667,0xB3,,
4.305534750000000,0xFD,,
