Time [s],Value,Parity Error,Framing Error
0.103517500000000,0xFA,,
0.103604041666667,0x01,,
0.103690583333333,0xA0,,
0.103777125000000,0x04,,
0.103863708333333,0x06,,
0.103950250000000,0xCC,,
0.104036791666667,0x6F,,
0.104123291666667,0xFD,,
0.302985833333333,0xFA,,
0.303072458333333,0x01,,
0.303159041666667,0xA0,,
0.303245625000000,0x04,,
0.303332166666667,0x06,,
0.303418750000000,0xCD,,
0.303505291666667,0x6E,,
0.303591833333333,0xFD,,
0.502310125000000,0xFA,,
0.502396666666667,0x01,,
0.502483291666667,0xA0,,
0.502569875000000,0x04,,
0.502656458333333,0x06,,
0.502743041666667,0xCE,,
0.502829583333333,0x6D,,
0.502916166666667,0xFD,,
0.552199583333333,0xFA,,
0.552286166666667,0x17,,
0.552372750000000,0x03,,
0.552459333333333,0x01,,
0.552545916666667,0x06,,
0.552632541666667,0xCF,,
0.552719125000000,0xDC,,
0.552805708333333,0xFD,,
0.701963375000000,0xFA,,
0.702049916666667,0x01,,
0.702136500000000,0xA0,,
0.702223041666667,0x04,,
0.702309625000000,0x06,,
0.702396166666667,0xD0,,
0.702482708333333,0x73,,
0.702569250000000,0xFD,,
0.901294791666667,0xFA,,
0.901381333333333,0x01,,
0.901467916666667,0xA0,,
0.901554500000000,0x04,,
0.901641083333333,0x06,,
0.901727666666667,0xD1,,
0.901814250000000,0x72,,
0.901900791666667,0xFD,,
1.100769333333333,0xFA,,
1.100855916666667,0x01,,
1.100942500000000,0xA0,,
1.101029083333333,0x04,,
1.101115666666667,0x06,,
1.101202250000000,0xD2,,
1.101288833333333,0x71,,
1.101375416666667,0xFD,,
1.300285291666667,0xFA,,
1.300371958333333,0x01,,
1.300458583333333,0xA0,,
1.300545166666667,0x04,,
1.300631791666667,0x06,,
1.300718375000000,0xD3,,
1.300805000000000,0x70,,
1.300891583333333,0xFD,,
1.499946000000000,0xFA,,
1.500032541666667,0x01,,
1.500119125000000,0xA0,,
1.500205708333333,0x04,,
1.500292291666667,0x06,,
1.500378875000000,0xD4,,
1.500465458333333,0x77,,
1.500552041666667,0xFD,,
1.699443333333333,0xFA,,
1.699529916666667,0x01,,
1.699616458333333,0xA0,,
1.699703083333333,0x04,,
1.699789666666667,0x06,,
1.699876291666667,0xD5,,
1.699962875000000,0x76,,
1.700049500000000,0xFD,,
1.898831583333333,0xFA,,
1.898918208333333,0x01,,
1.899004791666667,0xA0,,
1.899091416666667,0x04,,
1.899178041666667,0x06,,
1.899264625000000,0xD6,,
1.899351250000000,0x75,,
1.899437833333333,0xFD,,
2.098357916666667,0xFA,,
2.098444500000000,0x01,,
2.098531083333333,0xA0,,
2.098617625000000,0x04,,
2.098704208333333,0x06,,
2.098790791666667,0xD7,,
2.098877416666667,0x74,,
2.098963958333333,0xFD,,
2.297857500000000,0xFA,,
2.297944083333333,0x01,,
2.298030750000000,0xA0,,
2.298117333333333,0x04,,
2.298203958333333,0x06,,
2.298290541666667,0xD8,,
2.298377166666667,0x7B,,
2.298463791666667,0xFD,,
2.497508125000000,0xFA,,
2.497594708333333,0x01,,
2.497681333333333,0xA0,,
2.497767916666667,0x04,,
2.497854500000000,0x06,,
2.497941083333334,0xD9,,
2.498027666666667,0x7A,,
2.498114250000000,0xFD,,
2.622029500000000,0xFA,,
2.622116083333333,0x17,,
2.622202666666666,0x03,,
2.622289250000000,0x00,,
2.622375875000000,0x06,,
2.622462416666667,0xDA,,
2.622549000000000,0xC8,,
2.622635583333333,0xFD,,
2.696827083333333,0xFA,,
2.696913666666667,0x01,,
2.697000291666667,0xA0,,
2.697086875000000,0x04,,
2.697173458333333,0x06,,
2.697260041666667,0xDB,,
2.697346625000000,0x78,,
2.697433208333333,0xFD,,
2.896433916666667,0xFA,,
2.896520458333333,0x01,,
2.896607041666666,0xA0,,
2.896693625000000,0x04,,
2.896780166666667,0x06,,
2.896866708333333,0xDC,,
2.896953250000000,0x7F,,
2.897039833333333,0xFD,,
3.095874125000000,0xFA,,
3.095960708333333,0x01,,
3.096047291666667,0xA0,,
3.096133875000000,0x04,,
3.096220458333333,0x06,,
3.096307083333333,0xDD,,
3.096393666666667,0x7E,,
3.096480250000000,0xFD,,
3.295341708333333,0xFA,,
3.295428291666667,0x01,,
3.295514916666667,0xA0,,
3.295601541666667,0x04,,
3.295688125000000,0x06,,
3.295774666666667,0xDE,,
3.295861291666667,0x7D,,
3.295947875000000,0xFD,,
3.424864458333333,0xFA,,
3.424951000000000,0xA1,,
3.425037541666667,0x00,,
3.425124125000000,0x06,,
3.425210666666667,0xDF,,
3.425297208333333,0x78,,
3.425383708333333,0xFD,,
3.494789708333333,0xFA,,
3.494876250000000,0x01,,
3.494962791666667,0xA0,,
3.495049375000000,0x04,,
3.495135916666666,0x06,,
3.495222458333333,0xE0,,
3.495309041666667,0x43,,
3.495395583333333,0xFD,,
